David Arquette,nm0000274,Dr. Bird's Advice for Sad Poets,2021,372,6.1,tt3301314

Rosanna Arquette,nm0000275,Billionaire Boys Club,2018,11455,5.6,tt5179598

Sean Astin,nm0000276,Adverse,2020,3018,4.6,tt8597594

Richard Attenborough,nm0000277,Puckoon,2002,342,5.9,tt0276428

Pernilla August,nm0000278,Britt-Marie Was Here,2019,1297,5.3,tt8103160

Hank Azaria,nm0000279,Norman,2016,5735,6.1,tt4191702

Catherine Bach,nm0000280,The Breakup Girl,2015,132,4.9,tt2282737

Scott Baio,nm0000281,Cursed,2005,30710,5,tt0257516

Brenda Bakke,nm0000283,Unbelievable!!!!!,2020,753,5.3,tt2180583

Adam Baldwin,nm0000284,The Kid,2019,7025,5.9,tt4975920

Alec Baldwin,nm0000285,Torrente 5,2014,3876,5.4,tt3321428

Stephen Baldwin,nm0000286,The Least of These: The Graham Staines Story,2019,786,6.4,tt9376172

William Baldwin,nm0000287,"Lenexa, 1 Mile",2006,155,5.9,tt0464086

Christian Bale,nm0000288,Ford v Ferrari,2019,304507,8.1,tt1950186

Ellen Barkin,nm0000289,Breaking News in Yuba County,2021,1755,5.6,tt7737640

Angela Bassett,nm0000291,Soul,2020,215191,8.1,tt2948372

Sean Bean,nm0000293,Possessor,2020,20756,6.5,tt5918982

Amanda Bearse,nm0000294,Sky Sharks,2020,708,3.9,tt3977848

Kate Beckinsale,nm0000295,Farming,2018,1077,5.9,tt1127881

Robert Beltran,nm0000296,Free Birds,2013,22669,5.8,tt1621039

Tom Berenger,nm0000297,Blood and Money,2020,1164,5.1,tt9248110

Candice Bergen,nm0000298,Let Them All Talk,2020,7003,6.1,tt10808832

Michael Biehn,nm0000299,Killer Weekend,2020,135,2.6,tt3165282

Juliette Binoche,nm0000300,How to Be a Good Wife,2020,1081,5.9,tt10441958

Thora Birch,nm0000301,The Last Black Man in San Francisco,2019,15027,7.3,tt4353250

Jacqueline Bisset,nm0000302,Backstabbing for Beginners,2018,4555,6.3,tt5153288

Honor Blackman,nm0000303,Cockneys vs Zombies,2012,18428,5.9,tt1362058

Linda Blair,nm0000304,Surge of Power: Revenge of the Sequel,2016,126,5,tt1989632

Mel Blanc,nm0000305,Jetsons: The Movie,1990,4798,5.6,tt0099878

Brian Blessed,nm0000306,Shed of the Dead,2019,1518,4.9,tt3602422

Helena Bonham Carter,nm0000307,Enola Holmes,2020,132681,6.6,tt7846844

Ernest Borgnine,nm0000308,The Man Who Shook the Hand of Vicente Fernandez,2012,281,6.2,tt1977953

David Bowie,nm0000309,Twin Peaks: The Missing Pieces,2014,9192,7.7,tt5334704

Bruce Boxleitner,nm0000310,The Oath,2018,4323,5.5,tt7461200

Amy Brenneman,nm0000312,Peel,2019,924,6.1,tt8226892

Jeff Bridges,nm0000313,Bad Times at the El Royale,2018,131326,7.1,tt6628394

Charles Bronson,nm0000314,Death Wish V: The Face of Death,1994,7102,4.9,tt0109578

Mel Brooks,nm0000316,Toy Story 4,2019,208751,7.8,tt1979376

Clancy Brown,nm0000317,Promising Young Woman,2020,61956,7.5,tt9620292

Tim Burton,nm0000318,Miss Peregrine's Home for Peculiar Children,2016,157454,6.7,tt1935859

Yancy Butler,nm0000319,American Criminal,2019,307,6.3,tt5697722

Luis Bunuel,nm0000320,The Phantom of Liberty,1974,14577,7.9,tt0071487

Gabriel Byrne,nm0000321,Lost Girls,2020,17680,6.1,tt3111426

Emmanuelle Beart,nm0000322,Wonders in the Suburbs,2019,194,3.9,tt8506714

Michael Caine,nm0000323,Twist,2021,1242,4.1,tt10077034

Barbara Carrera,nm0000324,Panic,2002,721,3.6,tt0277944

David Caruso,nm0000325,Black Point,2002,555,5.2,tt0283942

Kim Cattrall,nm0000326,Horrible Histories: The Movie - Rotten Romans,2019,2202,5.2,tt7715070

Lacey Chabert,nm0000327,The Lost Tree,2016,639,4.9,tt2368606

Richard Chamberlain,nm0000328,Nightmare Cinema,2018,3720,5.5,tt7349910

Jackie Chan,nm0000329,Vanguard,2020,3335,4.7,tt9695722

Stockard Channing,nm0000330,Pulling Strings,2013,1788,6,tt3203890

Chevy Chase,nm0000331,The Very Excellent Mr. Dundee,2020,1091,4.9,tt8560172

Don Cheadle,nm0000332,Avengers: Endgame,2019,849079,8.4,tt4154796

Cher,nm0000333,Bobbleheads: The Movie,2020,153,3.1,tt13292206

Chow Yun-Fat,nm0000334,Project Gutenberg,2018,3861,6.9,tt7183578

Glenn Close,nm0000335,Hillbilly Elegy,2020,29763,6.7,tt6772802

James Coburn,nm0000336,Snow Dogs,2002,25530,5.2,tt0281373

Rachael Leigh Cook,nm0000337,"Love, Guaranteed",2020,14183,5.5,tt11100856

Francis Ford Coppola,nm0000338,Palo Alto,2013,27620,6.2,tt2479800

Roger Corman,nm0000339,Extraordinary Tales,2013,2983,6.5,tt3454574

James Cromwell,nm0000342,Emperor,2020,787,5.6,tt8354752

David Cronenberg,nm0000343,Falling,2020,2475,6.3,tt9143112

Denise Crosby,nm0000344,Itsy Bitsy,2019,2704,4.9,tt6895284

Billy Crystal,nm0000345,"Standing Up, Falling Down",2019,1489,6.5,tt6173484

Macaulay Culkin,nm0000346,Changeland,2019,1710,5.7,tt6612946

Tim Curry,nm0000347,Ribbit,2014,608,4,tt2066048

Tony Curtis,nm0000348,David & Fatima,2008,194,4.8,tt0993753

Joan Cusack,nm0000349,Toy Story 4,2019,208751,7.8,tt1979376

Beverly D'Angelo,nm0000350,The Unicorn,2018,875,5.1,tt7149336

Donna D'Errico,nm0000351,Inconceivable,2008,407,3.2,tt0974005

Vincent D'Onofrio,nm0000352,The Kid,2019,7025,5.9,tt4975920

Willem Dafoe,nm0000353,Zack Snyder's Justice League,2021,242474,8.2,tt12361974

Matt Damon,nm0000354,Ford v Ferrari,2019,304507,8.1,tt1950186

Sybil Danning,nm0000356,Virus X,2010,549,2.7,tt1509125

Lolita Davidovich,nm0000357,Sorry for Your Loss,2018,363,5,tt5428090

Daniel Day-Lewis,nm0000358,Phantom Thread,2017,114649,7.5,tt5776858

Rebecca De Mornay,nm0000360,I Am Wrath,2016,13838,5.4,tt3212232

Brian De Palma,nm0000361,The Black Dahlia,2006,71637,5.6,tt0387877

Danny DeVito,nm0000362,The One and Only Ivan,2020,9201,6.6,tt3661394

Sandra Dee,nm0000364,Lost,1983,118,4.5,tt0085869

Julie Delpy,nm0000365,My Zoe,2019,685,5.9,tt6290584

Catherine Deneuve,nm0000366,Terrible Jungle,2020,335,5.3,tt10366254

Gerard Depardieu,nm0000367,Fahim,2019,1169,6.8,tt4693588

Laura Dern,nm0000368,Grizzly II: The Concert,2020,449,3.6,tt0093119

Matt Dillon,nm0000369,Capone,2020,16555,4.7,tt6199572

Walt Disney,nm0000370,Fun & Fancy Free,1947,7323,6.5,tt0039404

Ami Dolenz,nm0000371,Ticks,1993,4178,5.5,tt0108339

Amanda Donohoe,nm0000372,Blue Iguana,2018,2533,5.6,tt2316479

Michael Dorn,nm0000373,Agent Revelation,2021,418,4.2,tt8955940

Brad Dourif,nm0000374,Obsession,2019,401,4.9,tt6023242

Robert Downey Jr.,nm0000375,Dolittle,2020,50409,5.6,tt6673612

Fran Drescher,nm0000376,After Class,2019,523,5.7,tt7187768

Richard Dreyfuss,nm0000377,Polar,2019,77205,6.3,tt4139588

Minnie Driver,nm0000378,Spinning Man,2018,9868,5.6,tt5616294

Kirsten Dunst,nm0000379,The Beguiled,2017,52936,6.3,tt5592248

Robert Duvall,nm0000380,Widows,2018,88832,6.9,tt4218572

Anthony Edwards,nm0000381,Experimenter,2015,17589,6.6,tt3726704

Jennifer Ehle,nm0000383,John and the Hole,2021,176,6.3,tt11307724

Danny Elfman,nm0000384,Charlie and the Chocolate Factory,2005,433352,6.6,tt0367594

Sam Elliott,nm0000385,Lady and the Tramp,2019,17893,6.3,tt8096832

Robert Englund,nm0000387,Nightworld,2017,2087,4.4,tt5157052

R. Lee Ermey,nm0000388,The Watch,2012,121844,5.7,tt1298649

Emilio Estevez,nm0000389,The Public,2018,3456,6.6,tt3294746

Rupert Everett,nm0000391,The Warrior Queen of Jhansi,2019,447,4.1,tt6916348

Morgan Fairchild,nm0000392,All Good Things,2019,111,5.1,tt7449274

Peter Falk,nm0000393,American Cowslip,2009,494,5.1,tt0850648

Chris Farley,nm0000394,Dirty Work,1998,23786,6.5,tt0120654

Terry Farrell,nm0000395,Deep Core,2000,1094,2.9,tt0202314

Farrah Fawcett,nm0000396,The Cookout,2004,2762,3.7,tt0380277

Corey Feldman,nm0000397,Corbin Nash,2018,3499,4.7,tt2948160

Sally Field,nm0000398,National Theatre Live: All My Sons,2019,137,8.6,tt9382224

David Fincher,nm0000399,Full Frontal,2002,9455,4.7,tt0290212

Linda Fiorentino,nm0000400,Once More with Feeling,2009,191,5.5,tt1259580

Laurence Fishburne,nm0000401,John Wick: Chapter 3 - Parabellum,2019,283026,7.4,tt6146586

Carrie Fisher,nm0000402,Star Wars: The Last Jedi,2017,571591,7,tt2527336

Bridget Fonda,nm0000403,Kiss of the Dragon,2001,61134,6.6,tt0271027

Jane Fonda,nm0000404,Book Club,2018,25761,6.1,tt6857166

Michelle Forbes,nm0000405,Columbus,2017,14716,7.2,tt5990474

John Ford,nm0000406,The Horse Soldiers,1959,9588,7.2,tt0052902

Vivica A. Fox,nm0000407,Arkansas,2020,9759,6,tt9139586

Jonathan Frakes,nm0000408,Devil's Gate,2017,5476,5.1,tt4610748

Brendan Fraser,nm0000409,The Poison Rose,2019,6842,4.7,tt5862166

Stephen Fry,nm0000410,Missing Link,2019,22582,6.7,tt6348138

Edward Furlong,nm0000411,Terminator: Dark Fate,2019,153556,6.2,tt6450804

Andy Garcia,nm0000412,Redemption Day,2021,20957,4.7,tt4439620

Janeane Garofalo,nm0000413,Flora & Ulysses,2021,3928,6.3,tt8521736

Teri Garr,nm0000414,Kabluey,2007,4311,6.6,tt0816545

Jami Gertz,nm0000415,Dealin' with Idiots,2013,1248,5.5,tt2948266

Terry Gilliam,nm0000416,Bye Bye Morons,2020,833,7.1,tt10196398

Crispin Glover,nm0000417,Smiley Face Killers,2020,539,3.6,tt12757438

Danny Glover,nm0000418,Jumanji: The Next Level,2019,194403,6.6,tt7975244

Jean-Luc Godard,nm0000419,Goodbye to Language,2014,5531,5.9,tt2400275

Valeria Golino,nm0000420,You Came Back,2020,142,4.7,tt9421456

Cuba Gooding Jr.,nm0000421,Life in a Year,2020,4606,5.8,tt6598238

John Goodman,nm0000422,Captive State,2019,49963,6,tt5968394

Hugh Grant,nm0000424,The Gentlemen,2019,254423,7.8,tt8367814

Jennifer Grey,nm0000426,Bittersweet Symphony,2019,113,3.6,tt7561364

Pam Grier,nm0000427,Poms,2019,4328,6,tt5125894

Melanie Griffith,nm0000429,The High Note,2020,7145,6.4,tt9308382

Steve Guttenberg,nm0000430,Roe v. Wade,2021,411,3.7,tt8639326

Gene Hackman,nm0000432,Welcome to Mooseport,2004,12201,5.2,tt0361925

Corey Haim,nm0000433,Decisions,2011,221,3.4,tt1535962

Mark Hamill,nm0000434,Star Wars: Episode IX - The Rise of Skywalker,2019,383068,6.6,tt2527338

Daryl Hannah,nm0000435,Sicilian Vampire,2015,6376,6.2,tt4693464

Woody Harrelson,nm0000437,Zombieland: Double Tap,2019,143992,6.7,tt1560220

Ed Harris,nm0000438,Resistance,2020,4670,6.4,tt6914122

Neil Patrick Harris,nm0000439,Downsizing,2017,100227,5.7,tt1389072

Noah Hathaway,nm0000441,The Chair,2016,136,4.5,tt3400932

Rutger Hauer,nm0000442,Break,2020,157,4.6,tt4590390

Goldie Hawn,nm0000443,The Christmas Chronicles: Part Two,2020,23535,6,tt11057644

Glenne Headly,nm0000444,Making Babies,2018,575,5.6,tt6644632

Dan Hedaya,nm0000445,Funny Face,2020,264,5.8,tt11638942

Mariel Hemingway,nm0000446,The Wall of Mexico,2019,266,5.3,tt9617560

Marilu Henner,nm0000447,The Mimic,2020,111,4.4,tt5704368

Lance Henriksen,nm0000448,The Dead of Night,2021,138,4,tt8510196

Natasha Henstridge,nm0000449,Hero Dog: The Journey Home,2021,150,5,tt11045566

